Rate,Review,Summary
3,Good,Good cycle
5,Mind-blowing purchase,I recommend this cycle bcoz it's very comfortable to me
5,Fabulous!,Cycle is too good and price is so aggressive but the breaks are not very good. It is value for money cycle..thank you for the deal🤝
2,Classy product,Nice cycle
5,Classy product,Best cycle for riding anyone
5,Wonderful,Good Bike
5,Terrific purchase,The Best MtB Cycle Real Feedback Thanks To Flipkart And Fit plus
5,Best in the market!,Value for money.Excellent quality
5,Classy product,great product
5,Best in the market!,Cycle is overall good anyone can go for it ❤️
1,Worthless,Good looking but not check from manufacturer.
1,Useless product,Poor quality of Tyre and tube
1,Did not meet expectations,"Do not buy this cheap brand.There are many problems with product:1. Bike graphics are not really printed but these are just stickers which would loose color within a month and bike would look really old. Check the photo.2. Side stand is not able to hold the bike weight and keep tipping over.3. Warranty on bike is just fluke, within a month every part of bike would start making sound and when you try to reach support they would not pickup phone or respond to your emails for days.4. Break..."
5,Awesome,It is very good product but it has too my difficulty to installation but it is very very good product
5,Fabulous!,Awesome built quilt ….It’s look like premium class .
4,Really Nice,Ok
4,Good quality product,Good for Urban Use.
5,Super!,Very easy to installMudguard are availableBuilt quality goodOverall best product in this price must buy
5,Wonderful,Realy good cycle and worth of money
5,Terrific purchase,Nice bicycle 👀✨
4,Worth the money,Great choice
4,Good quality product,"If you ride this cycle, every one will look at you... Yes it's eye catching beautiful 😍❤️ bycycle...."
4,Pretty good,"Very Good quality cycle, good service by UT for installation. Worth  of money"
5,Wonderful,Cycle is amazing
2,Expected a better product,Worst product
4,Pretty good,Best value in this price and nice bicycle
5,Wonderful,Best...
5,Just wow!,Very nice product and value for money
5,Must buy!,Product is very good. I think I have given good gift to my son.Thank you Flipkart
1,Did not meet expectations,Very bad experience for this productRunning very tyte no use
1,Waste of money!,"Cycle came multiple complaints and it is replaced by team and delivered new one,even it had many complaints service person came and repaired front wheel and once again front wheel complaint raised and front suspension oil leak,we used it only in our cellar,not used much."
5,Classy product,Unbelievable product Amazing I like it so much
5,Awesome,Worth buying... good quality and stylish... best dietion support..
4,Really Nice,"Urbain terrain service is awesome. Special thanks and I really appreciate dietician for her efforts on preparing the diet plan exclusively for me based on my heath issues and ldl/hdl levels and BMI. Their app really helps me to track the calories that I intake and if there are any mistakes in the calorie, Dieticial. Will keep track and correct us. Overall happy with the service. There are some issues with the product such as wheel bend /disc bend and brake alignment. I am yet to fix them. ..."
5,Simply awesome,Better to include both mudguard and bell
1,Horrible,Don't buy don't buyQuality is very badService toooooooo badNot recommend
5,Best in the market!,Good. It was terrific in design and terrific in colour
4,Really Nice,Thanks for your service and it's installed properly
5,Terrific purchase,This is best cycle .The cycle colour combination is awesome.frame build quality is best.shocker is best.cycle comes 90% assambled from company.other assembly is very easy at home.it comes with tools for assembly.i recommend this cycle
1,Waste of money!,This cycle is like a toy.. Its not sturdy and not worth to buy. Cycle parts are not strong enough. Not suitable for long life. Breaks are not working. After too muuch of services still breaks are not at all working. Apart from look nothing is impressive in this cycle.Wasted 💰 !!!
1,Unsatisfactory,Worst Product all the mechanical parts are not good Its feels like cheap bike .Also Flipkart promised to send installation guy but he never came I will suggest buy branded product like Hero or Hercules but dont biy this ever
5,Highly recommended,Lovely
5,Worth every penny,The cycle is awesome 🔥🔥Frame is hard Looks just incredibleBest cycle under this price range❤️❤️❤️
5,Great product,SUPER PRODUCT
4,Good quality product,Awosome
5,Terrific purchase,superb bicycle loved itinstallation is too easy good job flipkart
5,Fabulous!,Nice  product thanks Flipkart & ekart
5,Must buy!,Cycle is just amazing ❤️❤️❤️❤️ best quality.
5,Highly recommended,Good looking
4,Very Good,Good product
5,Excellent,Awsome purchase. Good product.
5,Great product,Very nice cycle ☺️☺️☺️ thanks flipkart ☺️😘☺️😘
4,Good quality product,I am so happy ☺️..for purchasing this leader cycle..In this price this product is very nice ..Each part of this cycle is so hard and nice..Riding is so soft and comfortable..Thanks Flipkart..
4,Good quality product,Good.. Nice.. Look also good.
5,Super!,Super quality thank you so much Flipkart and leader cycle super
5,Simply awesome,Nice productLeader cycles🚲👌👌👌
4,Very Good,Good
4,Really Nice,good product
5,Classy product,Bicycle is superb and price is not expensive as per the product overall performance is concerned.
5,Simply awesome,Good
5,Great product,Nice
4,Worth the money,Excellent
5,Mind-blowing purchase,It's great purchase. I love my cycle
4,Really Nice,Very nice product
5,Brilliant,Ok super
4,Pretty good,It's good
5,Just wow!,Good
5,Highly recommended,.Super i loved it very good cycle
5,Great product,Super amezing i love it
4,Worth the money,Good
5,Must buy!,Wroth for money
5,Super!,So nice must be order
1,Absolute rubbish!,Brakes poor quality..tyres poor quality..... Waste of money..
5,Mind-blowing purchase,awesome
2,Could be way better,Poor branding very damages no place for disc brakes both Tyre rings are out please friends don't buy this product and also don't provide cycle Bell and lock power breaks are only for fashion in this cycle very poor .
5,Best in the market!,Nice
4,Wonderful,Worth of money
5,Best in the market!,Wonderful
2,Expected a better product,"Stickers are not properly, breaks quality is vary bad, within 15 days back tyer is look like it can blast any time. Its highly recommended not to buy it."
1,Very poor,Very Poor Brake not Worth for money
1,Very poor,Break not proper....
2,Moderate,Very bad product don't buy.
5,Perfect product!,Awesome product 👍👍👍
2,Could be way better,Missing Seat clamp.. and fitting not good
5,Terrific purchase,Super
4,Nice product,"I bought it for 6000 in BBD sale. Packaging was ok ok, bt product arrived without any damage. Looks are awesome, quality is nice, installing is also easy, u can do it ur self. Over all satisfactory."
1,Waste of money!,Waste cycle dont buy it please waste of money i bought cycle but 2nd day that the chain was broken and there is no installation waste cycle poor quality pls dont buy this one
1,Hated it!,Not fitting the cycle
4,Delightful,Looking good and will comfortable but stand low quality.... Pushpendra kumar sarma from hr.
4,Wonderful,Good  but it is not  fit properly
5,Wonderful,Super product nice drive
2,Moderate,Bad
1,Absolute rubbish!,very low qualiti is breack spok wheel is bandvery poor quality is leader baisacile
4,Worth the money,Super
2,Expected a better product,Very bad
1,Useless product,it's one of the worst cycle i ever seen..  it's max 3000 worth that's it.. it's not a branded one.  it's purely low quality.break tyres stand All are low qualities only.  even coloring also gone after 20 days.. if any one purchase this later they will hate this product.. please don't go for it..
2,Expected a better product,"Cycle look is good and stylish. But its weight is light, components are weaker as the chain broke another day while my son was going to school. Presently it is running good."
2,Slightly disappointed,Packaging is not good and we have to do self fitting....not much comfortable.
5,Highly recommended,Very good cycle in low buget
4,Worth the money,Good Cycle at this price
5,Perfect product!,Best product
3,Good,"Tire is small, and power break not provide"
5,Perfect product!,"Nice prodectCustomer support is excellent, Mr. Gagan support superbly to solve my cycle issue"
5,Must buy!,Osm good
5,Great product,Nice colour and good quality for cycling
1,Terrible product,Weste of money.Please No purchase.Very Very poor quality.Breaks not working.Worest product.Breaks not working.
1,Worthless,Ofter one week all parts are broken...and break full damaged ..
1,Worthless,Not good
1,Absolute rubbish!,Very poor
1,Not recommended at all,Don't don't don't don't don't don't don't don't please don't don't buy this worst worst leader products ...
5,Worth every penny,Nice cycle we can keep for long life
1,Utterly Disappointed,Extremely unhappy with the products .within days of purchase the handle screw has broken and its rotating 360 degree.
3,Just okay,"Cycle is good, but the sticker is not properly"
5,Best in the market!,Very Nice..Thanks
5,Classy product,Nice
5,Just wow!,Nice cycle tq flipkart
3,Does the job,This is a weast
1,Worst experience ever!,Break shoo very worst quality fitting very worst
1,Very poor,Front tyre damaged.Quality not good.Waste of money
5,Terrific purchase,Nice
1,Utterly Disappointed,"Leader cycle is waste of money, very light body, cycle bends when you sit, all angles are miss match, got defected rear ball bearing, please prefer another brand, hero is far better."
1,Useless product,Local cycle just look stylish don't buy otherwise spend more money by repairing
4,Wonderful,Very fast
3,Nice,Good
5,Great product,Very good
1,Not recommended at all,"Do not buy, worst product even, mu suggestion plz buy offline, mine is broken, i replaced it 3 times, never got a good one, not refundable, breaks are not working handle is bending, weak body frame, over all do not bye"
1,Horrible,Waste of money
2,Bad quality,But not good
5,Wonderful,Super
5,Best in the market!,Good
4,Pretty good,Good
5,Terrific purchase,The product is really good. The assembly is very easy it can be done via some DIY steps. Value for money
3,Just okay,"Quality not very good , strength is not good. Look is good  , should be value reduce"
5,Best in the market!,Thank you so much❤❤❤
5,Fabulous!,Very nice 😊
4,Really Nice,Product nice
5,Classy product,"BEST CYCLE, I AM VERY HAPPY."
5,Classy product,Good
5,Terrific,"The overall experience with Urban Terrain is very impressive.The cycle came in very well packaged box.The installation guy was well enough trained to fix the cycle properly.The best thing is Installation is included in the price.The cycle is lightweight, sturdy, looks elegant.Definitely the best deal with this price.I purchased the very basic one, but looking forward with Urban Terrain to purchase na higher version.Thanks."
5,Perfect product!,"Cycle delivered on time, with good packaging. All parts in good shape and easy to install. Installation date was 5 days after delivery but the installation person arrived the next day of delivery. Installation done correctly and gave general maintenance advice too. Cycle looks great and riding is smooth. Overall a great buy, initial opinion - best single speed cycle. Also got a complentary cultsport subscription with this purchase. Consultation with dietician and trainer was insightful and..."
5,Excellent,"Amazing cycle under quite impressive price. Built quality is top notch. The company offers free installation included in the price. The person from the company came, the very next day to assemble the cycle. I also got complementary cultsport membership which includes free dietitian guidance. The Dietician called me to understand my routine and lifestyle to plan my diet accordingly. The Dietician was quite humble & kind."
4,Nice product,"Happy with the purchase.Quality of the bicycle is good,its a best option to go in this budget. Brakes weren't that great but it's ok.Diet consultation was good, had a session with Dietitian Vimelsh, she is very interactive and gave all the details that are required, really appreciated.Thank you flipkart"
5,Simply awesome,Great cycle and worth the penny. I'm extremely happy with this product. The Installation and fitness programs by cultsport are amazing which absolutely free as complimentary. The Whole team and service is amazing. They allot a dietician for yourself who guides you and provides you diet plans accordingly. My dietician Ms.Arpita was super kind and humble. Thanks alot for the whole team.Happy me😌❤.
5,Brilliant,"The cycle is gud looking and good to use. Haver a top quality workout  and meditation session with my assigned trainer Bhavana Rupani mam and i enjoyed doing the basic workouts and specially the meditation part. They also assigned me a dietitian Dr. Rohini, she enquired about my daily routine and eating habits and gave me a good diet plan.Together it was a great experience."
5,UT7002S26 model is a no-nonsense bicycle...worth buying,A good cycle for daily use. Pricing is very competitive. Home installation is done on the 4th day after delivery free of cost. Standard accessories are also part of the bicycle pricing. The seat can be adjusted depending on who is riding it.All in all a very good buy. I like what I got in reference of the doubts I have before placing the order online. Urban Terrain / Fit Plus as a whole is worth the trust.
4,Good quality product,It's a decent product with good quality along with free installation service and complete accessories. Value for money but it's not for heavyweight person it can support up to 85-90kg. If you are higher than 90kg go for some other model/brand and also check recommended weight.
5,Just wow!,"I had a great experience with one fit plus app, they have provided sessions with a dietician and a fitness expert, I had a great session with Manpreet, she is very interactive and not rushing through out the session she is patient, and very clear while explaining the exercises, overall I loved the experience with the app and the session."
5,Perfect product!,Terrific purchase at lowest rate during big billion days. Thanks Flipkart for your amazing services. Only there was no free assembling a available in our city. All things were there in box as mentioned.
5,Highly recommended,"Looks wise its awesome 😍I got it at the price of 3999 nd I think its the best option. The dietician named Pooja is very reassuring nd appreciating 😊, really loved her service."
5,Super!,"Received the cycle on time. Looks and feel is good . Technician came on time and properly assembled the cycle.Also, I have received 3 months free diet plan from cultsport app. The dietician provided a detailed diet plan and excercise chart. Really helpful. Will provide a detailed review after 1 month of usage."
5,Mind-blowing purchase,Best bycel love it thanks you flipkart best or best
1,Useless product,"BICYCLE  was Good But the installation guy u send did not do proper install of bicycle ,1.Handlebars remove automatically  2.Front Brakes fitted wrongly did not work 3.Seat does not fit properly"
5,Best in the market!,I like this product but the sevice was too late but the quality was good so i gave them 5 stars awesome
5,Terrific,Nice cycle 👍The cycle was worth for money complete satisfaction. I will recommend to my folks/ relatives / Pals to buy the product.
5,Best in the market!,Over the bicycle is good. Decent sporty  look and good quality. Smooth for riding. I am very much impressed with the packaging. It ensures zero scratches during transportation.I purchased this in Big Billion Days sale at the great price and got free installation.Overall the cycle is good and the service provided by Cult-Fit team is excellent. I recommend this to others.
5,Just wow!,"I searched a lot for a good cycle in between 5-6k. Finally found it at 5.5k. The cycle is awesome , light weight , smooth to ride. It comes with all the accessories as mentioned. The installation boy come on the same day of receiving the cycle.I recommend all to go for it."
4,Really Nice,"Good one, you can go for it, if it is 5K, looking was good and simple, my friends also impressed. Satisfied product."
4,Pretty good,"Cycle is good and light weight. It's seem affordable but comes with cultsport 3 month subscription which makes it awesome, 1. Got streching and cardo 1 day training for Bhavna, she is very professional and helpfull, it's help me in achieving my health goals.2. Got diet chat from professional dietitian, she is very polite, she get my preference and provide me diet chat as per my convenience.Thank Urban Terrain for this amazing cult-sport combo"
5,Simply awesome,"Though it falls under pricy side ,product was very very good.Looks wise its awesome & efficiency also!!In addition to this got a chance to get a diet plan from cultfit along with a trainer names ""POOJA"".Her guidance & diet is very great 👍. Enjoying the process."
5,Must buy!,Very good service i brought it for my younger brother he was so much happy with the quality also price and quality was best most go for it
4,Pretty good,Received the product in good packing condition.In two days the service person came and installed the cycle and checked everything will be perfect. And get good support from the cult sport team.Received a call from Dietcian Pooja -cultfit and regarding the diet plan took all the details and explained very clearly and shared the diet plan.Her diet planIs very useful for my fitness goal.
3,Just okay,Really like the diet part along with cycle i got free consultation with dietician. It's really helpful for me.But cycle not as per required standard.Bhavna mam yoga plan very good and important good thanks mam agian .
4,Good choice,Good cycle by urban terrain but not a value for money product it don't has the back seat the seat is very adjustable and it is very good product after all
5,Wonderful,Great service and support good quality cycle. Dietician support was extremely good and fast.
4,Worth the money,"The cycle is fantastic and very nice and the cost is also very good, with low price, budget  friendly for middle class family"
5,Mind-blowing purchase,Best quality cycle  and best Comfort while cycling And the consulting of Pooja is best ..! The diet plans are simple to follow…Really happy with product and consulting…!☺️
5,Simply awesome,Buid quality was really good.Quick delivery with installation process on very next day of delivery.Pretty much satisfied with the product at this price range.Got a free cultsport fitness plan along with dietician consultation.You will be assigned with a dietician and  can track your daily progress on the App.Cultsport app was really userFriendly.Ms Rohini my assigned dietician took evry detail of my daily routine and designed a custom diet plan with some added suggestions which is really he...
5,Brilliant,"I brought this cycle from urban terrain, even though i brought it from Flipkart, they have provided me a cultsport membership and free consultation from dietitian, i have to say dietitian is good and awesome and also a guy came to fit and assemble my cycle, their services are awesome."
5,Fabulous!,Cycle is awesome. I am really happy with bicycle.Tracking is available to us with dietician consultation.I had spoken to dietician Aishwarya. She is so polite and explained well about the balanced diet plan and schedule to achieve our goals. Thanks to her and installation team.Thank you Flipkart.
4,Very Good,"Cycle was very good for easy and smooth ride. Free Good physio named DR. BHAVANA, consultancy/class for our any health Issue, it leads to maintain good health. Thank u once again To Dr BHAVANA and to UT company/Flipkart 👍💐💐"
5,Mind-blowing purchase,"1 : Good quality product at a reasonable price and the looks of the bicycle r cool.. installation was hastle free..app is smooth and user friendly..2 :Dietician Pooja is assigned as my dietician.. she is extremely patient, to listen to my issues about my regular diet.. friendly,cool to share my issues without any hesitation.. and encouraging to follow a healthy lifestyle.. she provided a very good balanced diet plan based on my height, weight and daily routine..3 :Happy to select urban..."
4,Delightful,The product is good and I think it is value for money. Only brakes I'm not happy with but apart from that it's good. I'm also happy that I got consultation by purchasing the product. I'm very happy for my dietician Ms.Pooja who is very calm and helped me with my diet plan. She was very polite and answered all my doubts and clarified me as well as motivated me.
5,Fabulous!,Good..
5,Simply awesome,Good and value for money
5,Simply awesome,👍👍👍 awesome
5,Super!,"Super, very good installation, product also good,"
5,Fabulous!,Worth it.... Stylish....
5,Super!,Excellent I just loved it…
5,Brilliant,Its too Comfortable to ride n worth money 👍... youth can try buying this for perfect fitness
5,Terrific purchase,Very Very Good Product & Value for Money
5,Super!,Beautiful 😍
5,Great product,Nice bike and the service was good
4,Good quality product,This is awesome under this price 😍Looks awesome 😎Ride perfectBreak is ok Colour is gd
5,Simply awesome,Excellent cycle💖
5,Highly recommended,Super
4,Wonderful,Very good product for riders
5,Excellent,Nice cycle in budget
5,Wonderful,Best Cycle in this price range. Value for money. Loved it ❤️
4,Very Good,Good
5,Must buy!,It's nice 👍🏻🙂
2,Moderate,Low quality Not Worth for the price....Brakes have  problemTubes are worst
5,Awesome,Lovely cycle and the installation was smooth.The dietitian gave a through insight of the requirement.Overall it was great!
5,Awesome,Good purchase at discount price
5,Fabulous!,Superb
5,Classy product,It's nice 🚴 bicycle and it's feel properly comfortable😀
5,Fabulous!,Cycle is good.. It includes free installation and accessories too. Berlin model is looking sprb in Black and Blue color combo. Because of the tight packaging mudguards bent a bit. Got it for 5K in flipkart sale.
5,Highly recommended,Worth praduct.never expected
5,Highly recommended,Awesome
5,Excellent,Best experience in this cycle😊Its seat is smooth and comfortable.This cycle is best in this price.❤
5,Awesome,Value for money
4,Value-for-money,Good
4,Delightful,Ok
2,Bad quality,Not up to the mark
5,Must buy!,Got this in a much cheaper price in Flipcart and the cycle is v cooool...
4,Really Nice,Stylish cycle.Looks cool.Nice under 6k.You can go for it.Pumper and other accessories could have been better.
5,Highly recommended,"Brakes are little annoying in this cycle, but service assistance is really superb from Urban Terrain, after the servicing brakes issue was rectified and now it's superb to ride"
5,Brilliant,Cycle quality is good and stylish Value for money
5,Excellent,Good product
5,Mind-blowing purchase,I am happy to this product 😊😊
5,Perfect product!,U T IS BEST QUALITYINCLUDING AIR PUMP RECIEVED
5,Best in the market!,"Nice product  Nice look, worth for money."
5,Mind-blowing purchase,Good nice beautiful
5,Highly recommended,Best in the price bracket. Great for street cycling.
4,Very Good,Nice Bicycle 🚲 at this price range if you get it upto 5K
3,Nice,Worth for money😍😍😍
4,Really Nice,In sufficient tools.Breck lnkey missingOverall product is not bad goodValue for moneyLooking is good
5,Best in the market!,Pump was damaged Rest all is best....Good Deal 🤝🤝...Thanks
5,Simply awesome,Thankyou Flipkart.
5,Excellent,Best deal under 5k. Product quality is excellent and service provided for assembly is with in time.
5,Must buy!,Iam  so happy   this price and service
5,Excellent,Good cycle
3,Fair,Good
4,Good choice,It’s a good one. Over all performance is good and Satisfied with the product
5,Brilliant,"Really nice product , recommendation is must buy"
5,Awesome,Good cycle
5,Terrific purchase,Urban Terrain is the best cycle and its quality is very goog
5,Perfect product!,Superb
5,Mind-blowing purchase,"Very nice good product ,my son very happy Thanks flipcart ."
5,Great product,"Very good product, worth buying 🤩"
5,Best in the market!,Value for money
4,Worth the money,Brakes weren't that great overall it's ok to go for it .
5,Must buy!,Very nice product....my daughter recommend to her friends to buy this... so happy 💓
5,Terrific purchase,Great product in this price range. Loved it 😊.
5,Terrific purchase,One of the best product i have ever purchasedBest quality light weight 💜💖💜💜💜 superb performance every one should buy it
5,Classy product,Perfect
5,Classy product,Loved the cycle. This is my second purchase of same product. Light weight and easy to ride. On time delivery and installation process.
5,Worth every penny,Nice one loved it
5,Excellent,Very good looking and stylish cycle. Installation done on next working day.Thanks Urban Terrain!👍
4,Good quality product,Fow now it working fine😅
5,Super!,Cycle is goog
4,Very Good,This cycle quality is good
5,Excellent,Nice One..
5,Awesome,Product some crachesh but good
4,Value-for-money,Everything is good ☺️Over all cycle is very good looking and chiefAnd free demo session with (mam bhavna)I advised this cycle is best for beginners
5,Mind-blowing purchase,"Value for money , delivery on time , installation on next day...."
5,Terrific purchase,I m so happy
3,Nice,"Cycle is good,but handle not solid."
5,Awesome,Within this price segment and built quality wise excellent as of now.
5,Terrific,Very nice 😁😁
5,Excellent,"Such a awesome trainer, thanks a lot mam"
4,Delightful,Bicycle Very Good By Price
5,Must buy!,Value for money.. Good product 👍
5,Awesome,Good Cycle 😉
5,Excellent,Value for money and great thing is i got cult fit subscriptions.
5,Simply awesome,"Nice , you can install it in your house . ❤️ I love it , but delivery  partner is so bad ."
5,Classy product,Happy this odery
5,Must buy!,Very nice Product
5,Simply awesome,"Very nice product. Build quality, glowing paint is very nice.light waight. Smooth drive.seat is comfortable."
5,Terrific,"It's awesome.. loved riding it, light weight and hope il have long journey with it ."
5,Brilliant,Good Product and smooth Riding.i got it 12  month  cultsport pass live subscription Plan.Super offer Big Billion day Flipkart i purchase to Rs.3678 (including bank offer) Thank u Flipkart.
3,Decent product,Good cycle and light weight.Iam happy 🥰🥰🥰
1,Hated it!,Bicycle is great but flipkart team have mentioned that the installation date of my bicycle is on 20th of august but no one come and not installed bicycle is great but service is very poor I am waiting or excited also
5,Highly recommended,I have purchased this bicycle. training seesion and diet plan was awesome. Had Great experience with cultfit and its community. Thanks!
5,Terrific,Excellent at this price Good looks Fun to ride
5,Highly recommended,Very nice cycle😇
5,Terrific purchase,Wonderful.... Excellent
5,Awesome,"Very good quality frame, rim, colour finishing & Accessories"
5,Great product,5k under this product is best...!
5,Terrific purchase,Very nice cycle must buy...Low price...
5,Classy product,Good
2,Could be way better,"Breaks give weird noise when applied, it's really embarrassing.Service technician told that sound will go away after some usage, but God knows when it goes.Buy another cycle"
5,Mind-blowing purchase,Excellent. I bought it for a very low amount. I recommend all to purchase the same.
5,Wonderful,Good
1,Terrible product,not that good cycle.. very tight and rigid.. no smooth.. lot of sounds.. breaks also like jammed.. could ve gone for better.
5,Highly recommended,"Front brake has some issues, it keeps on touching the rim. Feels very hard to ride and the air pump supplied with the bicycle is faulty and of very lower quality and it operates with hands.After using it for more than a month I have changed the rating to 5 star as the ride quality is smooth and everything else is fine. All initial issues were resolved once I took it to a local service centre. Thanks to Flipkart for providing this product at such an affordable price."
5,Highly recommended,I used the cycle.Nice product.I love this cycle 😍
5,Terrific,It's very good quality. Value for money. It's very running quickly
5,Terrific purchase,Exllent bicycle 🚲 thank you Flipkart
5,Super!,Very good product and value for money
5,Great product,Awesome 😎👍👍
5,Just okay,Super product cycle was moving smoothly
5,Great product,Awesome but seat is not comfortable for long journey
5,Great product,Good quality
4,Good quality product,Good cycle 🥰🥰
5,Best in the market!,Nice perfect product
5,Just wow!,"Very nice bicycle, looks sturdy and comfortable while riding in city normal use."
5,Brilliant,Beautiful
5,Great product,Wonderful cycle I am very very happy good
5,Brilliant,Bicycle is worth the money. It is durable. Go for it!
5,Simply awesome,Overall experience is good product quality is good in this price segment.
5,Brilliant,Beautiful cycle
5,Brilliant,overall good
5,Excellent,"Product is Good.Eventough it was shown one week gap for the installtion while placing order,  Installation is  done on very next day.After two days, diet plan gudance is also provided throgh cultfit app.After one week, a free consultation session with Culfit physical trainer (Mr.Arpit) is provided which is very usefull for our regular fitness.As of now (after 10days usage), i am happy with the product."
5,Wonderful,Session provided by the cult sport was good
5,Perfect product!,So nice product I am khush ❤❤❤Thanks flipkart
5,Perfect product!,Good
3,Just okay,It is worthy to purchase. Go for it without thinking. Very smooth in riding. Never experienced before
5,Simply awesome,This is a good product and i loved it
4,Worth the money,I m happy
4,Very Good,Megha mam gave me a good diet which fits for me
3,Nice,No suspension in this cycle
4,Good quality product,Very nice
5,Perfect product!,This is value for money. I love it.
4,Delightful,Super
5,Simply awesome,Nice
3,Nice,Good byclicy
5,Worth every penny,good product worth of money plus bonus facilitieslike dedicated dietitian and trainer is making arather difficult journey of weight loss much moresynchronised
5,Perfect product!,Good cycle and great service!!!
5,Excellent,Nice
5,Classy product,Good one for this price range. Less weight..
5,Just wow!,Diet dad consultation was good gave all the details which is required and appreciated it thank you
4,Really Nice,Worth buying love it.
5,Best in the market!,Very good. Thank you Flipkart.
5,Best in the market!,Nice cycle 😊Good price 😊Thnx urban terrain team 😊 cycle delivery 3pm installation technician same day 7pm Assembly cycle 😊Thnx Flipkart😊
4,Nice product,The look and feel of this cycle is cool.But break is somewhat ok ok only. I have done only 13kms cycling for that itself the breaks are not at working..And then the dietician contacted me within 5 days of this  purchase and gave me some valuable diet plans. It will be helpful for me to maintain my weight.Anupama Dutta is  a cardio and strength trainer. She conducted one cardio and strength session and it will be very useful for me to do cardio exercises. Thanks for the session and guidance.
2,Not good,Brakes are not good
4,Good choice,Looks good just fitting done..Will update my review after 1 month...
4,Wonderful,I am using this for one week. Cycle is working fine. Design is more than my exaptation. Shoe brakes can be better. Choose for Disk brake. Handle grip could be softer than this. Overall this is worth for price.
5,Excellent,Good product
5,Simply awesome,Nice product.
5,Mind-blowing purchase,Very good cycle
2,Does the job,Overall this cycle was good but seat and brake quality was bad
5,Just wow!,"Not for heavy built persons...height suited upto 6'10.First of all, I'm writing this review after riding this bicycle for more than 5km.This bicycle is really well built, just few parts are of cheap quality which is justified seeing the price...The cheap parts can be upgraded as per your choice.The shipment is little delayed but rest was good...If you buy this bicycle u might want to upgrade a good quality handlebar tape.And you can also install the integrated gear shifters and cassett..."
1,Terrible product,*ABOUT DIET SESSION WAS VERY GOOD AND GAVE SOME TIPS BY DIETITIAN WAS VERY HELPFUL TO CONTROL MY WEIGHT*
5,Perfect product!,Very good product
5,Classy product,Good 👍👍
5,Terrific,Good product in affordable price. Good Looking and my kid is happy to have it.
1,Hated it!,Apart from MUD guard fasteners andPedals provided with common threading...Only right hand side pedal assembled....Left side pedal 😡😡😡😡😡
5,Perfect product!,Super
5,Awesome,"5 stars for the product and the dietician advice but 1/2 star for the Flipkart support team. Firstly, coming to the Bicycle - it's an absolute monster at this price range. The terrific quality the company has produced at this price point is beyond words. Go for this without a second thought. Next coming to the Dietician - My dietician, Rajitha ma'am has been incredibly wonderful in listening to my concerns with patience, and suggesting to me a diet plan that fits my needs after intricate ..."
5,Brilliant,Good for secure use
5,Mind-blowing purchase,Nice product
5,Just wow!,Nice product and it is worth for money.Also got a good diet plan from Cultsport which was well briefed by Dietician Surya.She enquired about my daily routine and eating habits and gave me a good diet plan.Together it was a great experience.Thank you Urban Terrain and Cultsport⚡
5,Perfect product!,Very good Product Timely deliveryThanks flipcart
4,Wonderful,Good
3,Does the job,Nice cycle very smooth
2,Slightly disappointed,Average product
5,Awesome,very good looking and stylish cycle. you will definitely love it while riding. Easy to install no technician needed if you have basic knowledge. you can follow user manual . super easy to fit and people will notice when you ride this . graphics awesome.
5,Just wow!,Good foldable piece....Tyres are not tubeless though. Good for casual riding not rough for riding. Takes  around 30-60 minutes to assemble it yourself properly but worth it.
4,Wonderful,"A very nice product. Reviewing after using it for months, very smooth nd nice cycle. Seat is very narrow nd pointed can be improved in width i believe otherwise nice cycle"
5,Best in the market!,"The bicycle is great. Assembly is easy. Great looks and the two shockers are very effective. So, you get a very comfortable ride even if there's the road is bad. I will try off roading and see how it performs there. I have done light off roading and it had fared well. We'll see how that goes."
5,Mind-blowing purchase,"Overall a Good cycle, but the saddle is very tough, so I would suggest to order a gel seat cover and padded cycling shorts with it, Gears sometimes missfire but , most of time works fine, i have improved its handle height for a more upright riding posture and comfort!!"
5,Must buy!,Its good but if you are stunter or u need a cycle for mountain and offroad use its not good because of its foldingAll over its good for long ride and traveling use
5,Simply awesome,Super duper hit..... beautifully crafted for cycle lovers.Folding is super compact. Easy to move in car.
5,Classy product,The product was delivered well within time . Thanks to flipkart ! Frame and gears are very sturdy and top notch ! Must buy !! Exceeds expectations. Very light weight and aerodynamic. Rare find .
5,Terrific,"Superb look, pre-assembled brake & gears it was very easy to fit myself.I have satisfied 90% with this cycle worth of money"
5,Brilliant,Superb product wonderfull to ride
4,Really Nice,Looks great.. suspension works good.Ride quality is also good
4,Very Good,Look and feel good. Lighter then norml cycle. Easy to ride. Value for money cycle.
5,Fabulous!,"nice product in my point of view ,,must buy it"
3,Does the job,"Quality is not good, shookar and break are also not good. Look of cycle is good"
5,Worth every penny,Fabulous purchase gear and suspension is good
5,Awesome,Really nice cycle
5,Wonderful,Super cycle
5,Terrific purchase,Nice
5,Classy product,Very fast delivery.thanks FlipkartNice bicycle.. folding is 👍 goodIt's my first impression after few days i will review for this bycycle
5,Just wow!,This cycle is drillion of nice and foldingIs very nice and hole cycle is nice nice nice nice nnnnmmiiiiiiiicccccceeee 😍😍😍😍😍
4,Really Nice,The product is to good Bicycling experience is awesomeGear shifter = Shimano nice qualityBrakes are also goodBur there is a problem= handle cavity is fluctuating
5,Best in the market!,Super
5,Brilliant,Very good 🥰
5,Just wow!,Best for Halfroad 😉Super suspensions...both front and back..
